Description,Physical Harassment,Verbal Harassment,Non-Verbal Harassment,Not Harassment,Cyber Sexual Harassment
A stranger in the gym watched me through the mirror while making a licking gesture,0,0,1,0,0
She would always position herself where she could see into my cubicle,0,0,1,0,0
A person in the waiting room took out his phone and started recording me,0,0,1,0,0
He left a copy of a porn DVD on my doorstep,0,0,1,0,0
A man on the sidewalk made a crude pelvic thrust motion toward me,0,0,1,0,0
She would stand outside the women's restroom and wait for me to come out,0,0,1,0,0
A colleague would always adjust his belt when talking to me,0,0,1,0,0
He would leave his phone on my desk with a nude image as the wallpaper,0,0,1,0,0
A person in the library would run their finger along the shelf and stare at me,0,0,1,0,0
She would always sit in the front row of my class and stare without blinking,0,0,1,0,0
A man in the grocery store followed me to my car and stood nearby until I drove off,0,0,1,0,0
He would always park his car next to mine and leave a note with a suggestive drawing,0,0,1,0,0
A stranger on the train held up his phone showing a naked picture and smiled,0,0,1,0,0
She would blow bubbles from her gum and pop them near my face,0,0,1,0,0
A person in the elevator stood facing me and started touching himself through his pants,0,0,1,0,0
He would leave handwritten notes with drawn female figures in my mailbox,0,0,1,0,0
A man at the cafe wrote "nice" on a napkin and put it on my table,0,0,1,0,0
She would always walk behind me and mimic my walk,0,0,1,0,0
A coworker would always touch my hair when walking by then say nothing,0,0,1,0,0
He would stand in the doorway of my office and just look without speaking,0,0,1,0,0
A person in the locker room would always choose the shower next to mine,0,0,1,0,0
She would always find reasons to lean over my desk and expose her cleavage,0,0,1,0,0
A man on the bus would move his leg to touch mine and then not move,0,0,1,0,0
He would always appear at my bus stop at the same time always watching,0,0,1,0,0
A stranger in the park flew a drone near me and circled around,0,0,1,0,0
She would always adjust her blouse when I walked by as if to draw attention,0,0,1,0,0
A person in the waiting room hummed a sexual song and looked at me,0,0,1,0,0
He would always leave his jacket on my chair so I had to move it then watched,0,0,1,0,0
A man on the street corner made a "call me" hand gesture and pointed at his crotch,0,0,1,0,0
She would always leave her high heels outside her door when I passed,0,0,1,0,0
A colleague would always copy my movements in a mocking way,0,0,1,0,0
He would always position his desk fan to blow my skirt up,0,0,1,0,0
A person in the library left a bookmark with a nude image inside my book,0,0,1,0,0
She would stare at me while licking an ice cream cone suggestively,0,0,1,0,0
A man on the train repeatedly dropped items near my feet to bend down close,0,0,1,0,0
He would always write my name with hearts on the bathroom mirror,0,0,1,0,0
A stranger in the cafe took my used cup and put it to his lips,0,0,1,0,0
She would always stand at the end of the hallway and watch me walk,0,0,1,0,0
A person in the elevator pressed the stop button and just stood there smiling,0,0,1,0,0
He would always leave his phone camera pointed at me during breaks,0,0,1,0,0
A man on the sidewalk would walk in front of me and stop suddenly making me swerve,0,0,1,0,0
She would blow kisses from across the cafeteria every day,0,0,1,0,0
A coworker would always stare at my chest while talking and not maintain eye contact,0,0,1,0,0
He would follow me onto the subway and stand directly behind me,0,0,1,0,0
A person in the gym would work out near me always glancing,0,0,1,0,0
She would take pictures of me with her phone from across the cafeteria,0,0,1,0,0
A man in the parking garage followed me to my car and just stood there,0,0,1,0,0
He would always sit in the front row of my class and stare without blinking,0,0,1,0,0
A stranger in the store kept circling the aisle where I was always staring,0,0,1,0,0
She would always adjust her bra strap provocatively when I looked,0,0,1,0,0
A person on the bus would wait at my stop and then get off too,0,0,1,0,0
He would always show up at the same restaurant as me and sit alone watching,0,0,1,0,0
A man in the park would make a "V" shape with his fingers and point at his eyes then me,0,0,1,0,0
She would leave a flower on my desk every day with no note,0,0,1,0,0
A colleague would always leave sexually suggestive doodles on the meeting agenda,0,0,1,0,0
He would always stand behind me in line and pretend to bump into me repeatedly,0,0,1,0,0
A person in the library would tap on the glass of the study room where I was,0,0,1,0,0
She would wear low‑cut tops and lean over my desk to ask questions,0,0,1,0,0
A man on the bus would stand in front of me and slowly unbuckle his belt,0,0,1,0,0
He would leave his wallet open with a picture of a nude woman on my desk,0,0,1,0,0
A stranger in the elevator would draw a smiley face on the mirror with his finger while looking at me,0,0,1,0,0
She would always find reasons to touch my shoulder and then stare at my reaction,0,0,1,0,0
A person in the waiting room would take a photo of me with a flash then pretend it was accidental,0,0,1,0,0
He would always stand outside my building and watch me until I disappeared inside,0,0,1,0,0
A man on the sidewalk would clap his hands when I walked by,0,0,1,0,0
She would always write my name on the bathroom mirror in lipstick,0,0,1,0,0
A colleague would always bring his chair close to mine when we have meetings invading space,0,0,1,0,0
He would always leave his sunglasses on the table with the reflection aimed at me,0,0,1,0,0
A person on the train would repeatedly look at me and then write in a notebook,0,0,1,0,0
